CodigoCliente;CodigoContrato;DataInicio;DataTermino;Fechado;Placa;Cor;Modelo;ValorPeriodoVeiculo;ValorCombustivel;ValorLocacao;PeriodoTarifa;ValorDiversos
2140;28699;29/10/2021;03/11/2021;Sim;RNZ4D02;Cinza;Gol (novo) 1.0 Mi Total Flex 8v 4p;100;0;500;1;0
2235;28696;29/10/2021;03/11/2021;Sim;RNZ4C93;Cinza;Gol (novo) 1.0 Mi Total Flex 8v 4p;130;0;650;1;0
115;28916;03/11/2021;20/12/2021;Sim;QNF9536;Prata;Versa Sl 1.6 16v Flexstart 4p Aut.;84;233,64;4181,64;1;0
1723;28934;04/11/2021;05/11/2021;Sim;RNZ4D02;Cinza;Gol (novo) 1.0 Mi Total Flex 8v 4p;100;0;100;1;0
1863;28936;05/11/2021;08/11/2021;Sim;RNZ4D02;Cinza;Gol (novo) 1.0 Mi Total Flex 8v 4p;100;0;300;1;0
2116;28937;06/11/2021;08/11/2021;Sim;RTB7G39;Prata Sirius;Gol G7 1.6 Completo Trend Line;130;0;290;1;30
848;28957;11/11/2021;16/11/2021;Sim;RFT6C18;Branco;Hilux Cd 4x4 2.8 Diesel Mec;400;0;2000;1;0
2239;28961;12/11/2021;18/11/2021;Sim;QWR6981;Cinza;Etios Hb Xls 1.5;140;0;840;1;0
2241;29001;19/11/2021;22/11/2021;Sim;RTC9D83;Cinza;Gol G7 1.6 Completo Trend Line;170;0;510;1;0
2015;29069;24/11/2021;27/11/2021;Sim;RTC9D83;Cinza;Gol G7 1.6 Completo Trend Line;160;0;510;1;30
2241;29083;26/11/2021;29/11/2021;Sim;RTC9D82;Cinza;Gol G7 1.6 Completo Trend Line;140;0;420;1;0
